year,na_number,na_value,na_name,winner,winner_party,runnerup,runnerup_party,victory_margin,turn_out,winner_party_cat,runnerup_party_cat,streak3_flag,streak2_flag
2013,NA-223,223,NA-223 (TANDO ALLAHYAR-CUM-MATIARI(OLD HYDERABAD-VI)),ABDUL SATTAR BACHANI,Pakistan Peoples Party Parliamentarians,Dr Rahila Gul Magsi,Pakistan Muslim League (N),12.91486526,63.45,Pakistan Peoples Party Parliamentarians,Pakistan Muslim League (N),1,0
2013,NA-224,224,NA-224 (BADIN-CUM-TANDO MUHAMMAD KHAN-I (OLD BADIN-I)),Sardar Kamal Khan Chang,Pakistan Peoples Party Parliamentarians,Ali Asghar Halepoto,Pakistan Muslim League (F),37.03518766,56.1,Pakistan Peoples Party Parliamentarians,Other,1,0
2013,NA-225,225,NA-225 (BADIN-CUM-TANDO MUHAMMAD KHAN-II(OLD BADIN-II)),Dr Fehmida Mirza,Pakistan Peoples Party Parliamentarians,Bibi Yasmeen Shah,Pakistan Muslim League (F),24.89067913,60.12,Pakistan Peoples Party Parliamentarians,Other,1,0
2013,NA-226,226,NA-226 (MIRPUR KHAS-CUM-UMERKOT (I) (OLD MIRPURKHAS-I),PIR SHAFQAT HUSSAIN SHAH JILANI,Pakistan Peoples Party Parliamentarians,SYED QURBAN ALI SHAH,Pakistan Muslim League (F),18.70650374,58.26,Pakistan Peoples Party Parliamentarians,Other,1,0
2013,NA-227,227,NA-227 (MIRPURKHAS-CUM-UMERKOT (II) (OLD MIRPURKHAS-II)),Mir Munawar Ali Talpur,Pakistan Peoples Party Parliamentarians,Syed Inayat Ali Shah,Pakistan Muslim League (F),47.16320683,59.75,Pakistan Peoples Party Parliamentarians,Other,1,0
2013,NA-228,228,NA-228 (UMERKOT(OLD MIRPURKHAS-III)),Nawab Muhammad Yousif Talpur,Pakistan Peoples Party Parliamentarians,Makhdoom Shah Mehmood Hussain Qureshi,Pakistan Tehreek-e-Insaf,7.02112133,68.84,Pakistan Peoples Party Parliamentarians,Pakistan Tehreek-e-Insaf,1,0
2013,NA-229,229,NA-229 (THARPARKAR-I),Faqir Sher Muhammad Bilalani,Pakistan Peoples Party Parliamentarians,Arbab Togachi Fawad Razzak,Independent,1.188175386,0.698,Pakistan Peoples Party Parliamentarians,Independent,0,0
2013,NA-230,230,NA-230 (THARPARKAR-II),Pir Noor Muhammad Shah jeelani,Pakistan Peoples Party Parliamentarians,Makhdoom Shah Mehmood Qureshi,Pakistan Tehreek-e-Insaf,1.586319445,0.679,Pakistan Peoples Party Parliamentarians,Pakistan Tehreek-e-Insaf,0,0
2013,NA-231,231,NA-231 (JAMSHORO(OLD DADU-I)),Malik Asad Sikandar,Pakistan Peoples Party Parliamentarians,Syed Jalal Mehmood Shah,Sindh United Party,35.49380864,56.21,Pakistan Peoples Party Parliamentarians,Other,1,0
2013,NA-232,232,NA-232 (DADU-I (OLD DADU-II)),Rafique Ahmed Jamali,Pakistan Peoples Party Parliamentarians,Karim Ali Jatoi,Pakistan Muslim League (N),12.82817872,54.36,Pakistan Peoples Party Parliamentarians,Pakistan Muslim League (N),1,0
2013,NA-233,233,NA-233 (DADU-II(OLD DADU-III)),MR.Imran Zafar Leghari,Pakistan Peoples Party Parliamentarians,MR.Liaquat Ali Jatoi,Pakistan Muslim League (N),25.10825643,67.5,Pakistan Peoples Party Parliamentarians,Pakistan Muslim League (N),0,1
2013,NA-234,234,NA-234 (SANGHAR-I),Pir Bux Junejo,Pakistan Muslim League (F),Fida Hussain Dero,Pakistan Peoples Party Parliamentarians,15.20018579,59.58,Other,Pakistan Peoples Party Parliamentarians,1,0
2013,NA-235,235,NA-235 (SANGHAR-CUM-MIRPURKHAS-CUM-UMERKOT(OLD SANGHAR-II)),Shazia Mari,Pakistan Peoples Party Parliamentarians,Khuda Bux Dars,Pakistan Muslim League (F),8.536804602,55.76,Pakistan Peoples Party Parliamentarians,Other,0,0
2013,NA-236,236,NA-236 (SANGHAR-II(OLD SNAGHAR-III)),Roshan Din Junejo,Pakistan Peoples Party Parliamentarians,Imamuddin Shaookeen,Pakistan Muslim League (F),7.747117633,51.3,Pakistan Peoples Party Parliamentarians,Other,0,0
2013,NA-237,237,NA-237 (THATTA-I),Shamas-un-Nisa,Pakistan Peoples Party Parliamentarians,Syed Riaz Hussain Shah Sherazi,Pakistan Muslim League (N),13.10979755,44.78,Pakistan Peoples Party Parliamentarians,Pakistan Muslim League (N),0,1
2013,NA-238,238,NA-238 (THATTA-II),Syed Ayaz Ali Shah Sheerazi,Independent,Rameez u din Memon,Pakistan Peoples Party Parliamentarians,5.545971467,60.56,Independent,Pakistan Peoples Party Parliamentarians,0,0
2013,NA-239,239,NA-239 (KARACHI-I),Mohammad Salman Khan Baloch,Muttahidda Qaumi Movement,Subhan Ali,Pakistan Tehreek-e-Insaf,3.186372877,41.12,Muttahidda Qaumi Movement,Pakistan Tehreek-e-Insaf,0,0
2013,NA-240,240,NA-240 (KARACHI-II),Sohail Mansoor Khawaja,Muttahidda Qaumi Movement,Naz Baloch,Pakistan Tehreek-e-Insaf,41.2813436,56.8,Muttahidda Qaumi Movement,Pakistan Tehreek-e-Insaf,1,0
2013,NA-241,241,NA-241 (KARACHI-III),Syed Akhter ul Iqbal Qadri,Muttahidda Qaumi Movement,Doctor Saeed Ahmed Afridi,Pakistan Tehreek-e-Insaf,41.19893228,52.87,Muttahidda Qaumi Movement,Pakistan Tehreek-e-Insaf,0,1
2013,NA-242,242,NA-242 (KARACHI-IV),Mehboob Alam,Muttahidda Qaumi Movement,Akram Khan,Pakistan Tehreek-e-Insaf,78.68361967,65.54,Muttahidda Qaumi Movement,Pakistan Tehreek-e-Insaf,1,0
2013,NA-243,243,NA-243 (KARACHI-V),Abdul Waseem,Muttahidda Qaumi Movement,Zahid Hussain Hashmi,Pakistan Tehreek-e-Insaf,67.41985858,57.86,Muttahidda Qaumi Movement,Pakistan Tehreek-e-Insaf,1,0
2013,NA-244,244,NA-244 (KARACHI-VI),Sheikh Salahuddin,Muttahidda Qaumi Movement,Khalid Masood Khan,Pakistan Tehreek-e-Insaf,59.47870973,61,Muttahidda Qaumi Movement,Pakistan Tehreek-e-Insaf,1,0
2013,NA-245,245,NA-245 (KARACHI-VII),Muhammad Rehan Hashmi,Muttahidda Qaumi Movement,Muhammad Riaz Haider,Pakistan Tehreek-e-Insaf,30.9917629,54.28,Muttahidda Qaumi Movement,Pakistan Tehreek-e-Insaf,1,0
2013,NA-246,246,NA-246 (KARACHI-VIII),Sardar Nabeel Ahmed Gabol,Muttahidda Qaumi Movement,Amir Sharjeel,Pakistan Tehreek-e-Insaf,61.10896523,51.63,Muttahidda Qaumi Movement,Pakistan Tehreek-e-Insaf,1,0
