"year","na_number","na_value","na_name","winner","winner_party","runnerup","runnerup_party","victory_margin","turn_out","winner_party_cat","runnerup_party_cat"
2002,"NA-87","87","?NA-87 Jhang-II","Mst.Ghulam Bibi Bharwana","Pakistan Muslim League (Q)","Makhdoom Syed Asad Hayat Shah","Pakistan Peoples Party Parliamentarians","13.0","49.76180546","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-91","91","?NA-91 Jhang-VI","Mr.Sahibzada Muhammad Mehboob Sultan","Pakistan Muslim League (Q)","Makhdoom Syed Faisal Saleh Hayat","Pakistan Peoples Party Parliamentarians","5.8","53.64426364","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-97","97","?NA-97 Gujranwala-III","Ch. Shahid Akram Bhinder","Pakistan Muslim League (Q)","Dr. Zafar Ch.","Pakistan Peoples Party Parliamentarians","5.3","37.48588059","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-99","99","?NA-99 Gujranwala-V","Rana Umar Nazir Khan","Pakistan Muslim League (Q)","Ch. Muhammad Abdullah Virk","Pakistan Peoples Party Parliamentarians","12.0","47.41847970","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-100","100","?NA-100 Gujranwala-VI","Chaudhry Bilal Ijaz","Pakistan Muslim League (Q)","Mr.Hamed Naser Chattha","Pakistan Muslim League (J)","17.2","49.32218241","Pakistan Muslim League (Q)","Other"
2002,"NA-102","102","?NA-102 Hafizabad-I","Chaudhry Mehdi Hasan Bhatti","Pakistan Muslim League (Q)","Brig ВЁ Muhammad Usman Tarar","Pakistan Muslim League (N)","6.6","51.78334581","Pakistan Muslim League (Q)","Pakistan Muslim League (N)"
2002,"NA-103","103","?NA-103 Hafizabad-II","Chaudhry Liaqat Abbas Bhatti","Pakistan Muslim League (Q)","Chaudhry Sarfraz Khan Bhatti","Independent","21.4","55.86189863","Pakistan Muslim League (Q)","Independent"
2002,"NA-104","104","?NA-104 Gujrat-I","Chaudhry Wajahat Hussain","Pakistan Muslim League (Q)","Nawabzada Ghazanfar Ali Gul","Pakistan Peoples Party Parliamentarians","12.3","52.08217511","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-105","105","?NA-105 Gujrat-II","Ch. Shujat Hussain","Pakistan Muslim League (Q)","Ch. Ahmad Mukhtar","Pakistan Peoples Party Parliamentarians","10.2","47.41130991","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-108","108","?NA-108 M.B Din-I","Mr.Ijaz Ahmad Chaudhary","Pakistan Muslim League (Q)","Mr.Zafarullah Tarar","Pakistan Peoples Party Parliamentarians","5.4","49.21900571","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
